urls,type
http://alexbucatarladomiciliu.ro/wp-content/themes/default/www.telstra.com.au/Billing/Action/Payment/OnlinePayment/Update/login.php,2
http://aerade.cranfield.ac.uk/docsupply.php?aid=3479,3
http://bancopostaonline.poste.it.326b7870cc5a9d909822a76d653cbe50.326b7870cc5a9d909822a76d653cbe50.it.aggiorna.xyz/mgwww/agg/326b7870cc5a9d909822a76d653cbe50/,2
http://answering-islam.org.uk/Chinese/project/gb_topic21/13/gb_21_13_2.htm,3
http://www.dimineticuextrasavoare.ro/docfile/,2
http://archive.yorkpress.co.uk/2002/3/26/288743.html,3
http://www.riabilitazionepoint.it/proforma/invoice/contactform.php,2
http://amazon.co.uk/gp/richpub/listmania/byauthor/A1DEVR2OLS417F/ref=cm_lmt_srch_p_2/202-2513040-1206232,3
http://grasslandhotel.com.vn/index.php/tours/mysontours/items/4-tours,1
http://amazon.co.uk/b/ref=amb_link_18248265_6/202-2513040-1206232?ie=UTF8&node=547818&pf_rd_m=A3P5ROKL5A1OLE&pf_rd_s=center-1&pf_rd_r=13KAM0Z863Q7EPQNDZBN&pf_rd_t=101&pf_rd_p=114390591&pf_rd_i=547786,3
http://www.wu8188.com/cl/js/jquery-ui-1.8.21.custom.min.js?v=ver15.32,1
http://domainpark.sitelutions.com/include_files/css/sitelutions1.css,1
http://archives.li.man.ac.uk/ead/search/?operation=browse&fieldidx1=bath.personalName&fieldcont1=Cotton+James+Sutherland+1847-1918+Editor,3
http://gd1.alicdn.com/bao/uploaded/i1/TB108HMIXXXXXXBXpXXXXXXXXXX_!!0-item_pic.jpg_400x400.jpg,1
http://archive.thisischeshire.co.uk/2000/7/5/221031.html,3
http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%A9%9A%E7%BA%B1/,1
http://pastehtml.com/raw/bnk6qz1b5.html,2
http://adservers.co.uk/scr/clk.aspx?ec=o03Ct0JDn4ZDvKpNoL6Pfr3QqH7SbCJGb8ZHb8ZHtTtTb8JHhL6RhzsRb8JHZzM9oKKThLYC6D6TiLYC6L6UmzcSqrKPoD6QXv6TbCJHm5cSqvMPoLoC4jMPijsRlLYCs0NOoHdRb9NIaLoC4bZDv03EsaZCb8ZDm5cSXrM9pGKPATNChTKCoTdQ155UtapIpacQYbsDJXLUmq4LeH3UqbaGrbNKOPKTqeKTJH7SjjKCAfLMrGZKuKID6jqLBD6I4DsTb83Hb83HGT3CradLDDKMmS6HpLNJprqOqHKGFHbJ7LYC45LQC17P6TbLnXLLo4NIne5Pg1ZPKHcILbJ9oGK9rOqJmLID6H3CmP3LnrcCrfrOoDbQ1PaHX9sKdDKSNT6H615UFD4UELqOavKDv43ChbK9oG4DmS7QkrKOo5JEj5cK8XKPuTMK3DbPjHpOcX5Mb1JMb83Ho8bIa13LqbZOpOJ9oG4ToGNHOPJ9rO4T4XJKnKZTr53PpLID6bqO7fqPDncJ5DdUsKNROvMCqDJPhHdQlnqDsOpIl5bIPXtRMbMR5L5L2XsStfdL6bqRC9KGvTNDOXMHp1LCvScG2X5Rq8LJELKRwXaUYL4KaDdUr05Usf6UmGaCITMIrSaJ4T4UhHrG9HsLJ9cUevaUtbNGN1rC35pOnKMDoLdS8TJ9rOaQs4cRq13Qb83H11bCIr6RKLYCsCNPX9tOeb4PbC3HbX7Sl97TbKZHo4pDnGZDnS3Eo03DbKZHn4pDu8pCt8ZDrGZDoKID693CtapCsapCr8Z9ZXcSlrJCc8NPcLMFca6SXHMFnKJEk43DvuICpCZBoCJDcCNPpDNFu97UomMQr1ZSwL7Pbb6DraNCu5dRhPMPcycOgLMFJXqJG1LIETa9l9MQarJCc07Qo5MFZXMPX178jzcSqTMOdL68lPcPb9701,3
http://3cf.ru/2015/03/04/pri-vzryve-na-shahte-imeni-zasiadko-v-donecke-pogib-gorniak/,1
http://www.3344mt.com/cl/?module=System&method=LiveTop&args=livehall,1
http://archive.thisischeshire.co.uk/2000/10/26/217577.html,3
http://argos.e-science.soton.ac.uk/blogs/OptionsMatlab/wordpress/wp-images/smilies/,3
http://hindumandal.org/?cmd=_home&dispatch=5885d80a13c0db1f8e&ee=2acb256db30581dcae0f16264184a4da,2
http://allianceleague.co.uk/cgi-bin/phpBB2/profile.php?mode=viewprofile&u=988&sid=39e0fc26c1e8462a296039a38f87fdc9,3
http://us.battle.net.en.yyweb.asia/login/en/login.html?app=wam&amp;ref=https://www.battle.net/account/&amp;eor=0&amp;app=bam,2
http://www.jin0044.com/ipl/app/help.php?GameType=5837&lang=zh-cn&HALLID=3820004&State=0,1
http://allianceleague.co.uk/cgi-bin/phpBB2/posting.php?mode=quote&p=47355&sid=39e0fc26c1e8462a296039a38f87fdc9,3
http://stage.hamlynmarketing.com/tot0/index.html,2
http://abdn.ac.uk/cass/graduate/funding/apply.php?PHPSESSID=31429c3dfc6c620693a7fdf72d7fd3df,3
http://grasslandhotel.com.vn/index.php/tours/mysontours/items/fbtrack.js,1
http://9779.info/%E4%BA%B2%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E6%AC%A3%E8%B5%8F/,1
http://archive.thisisyork.co.uk/2001/6/4/302078.html,3
http://aolshop.memberoffers.co.uk/csp/smp/aol/itementry3.csp?FS=E119&cat=AK&header=Kitchenware/subcats2.csp?cat=AB&header=Bedroom&CSPCHD=000000010001317z60xl000781172224,3
http://www.lesaem.org/dyn/news/documents/pd/www.paypal.fr/,2
http://aolpictures.aol.co.uk/galleries/kevsphotography1/tags/cows,3
http://9779.info/%E4%BA%B2%E5%AD%90%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,1
http://aolshop.memberoffers.co.uk/csp/smp/aol/itementry3.csp?FS=E072&cat=AK&header=Kitchenware/subcats2.csp?cat=AB&header=Bedroom&CSPCHD=0000000100012m64zUtv004259584285,3
http://drive-google-com.fanalav.com/439527bb2ffdb443ad0c8ea19197baf1/,2
http://amber.ch.ic.ac.uk/archive/all/4744.html,3
http://abdn.ac.uk/chemistry/ex/cm02/3/links2.html,3
http://3cf.ru/2015/07/21/francyzskie-depytaty-posetiat-krym-vpervye-posle-vvedeniia-sankcii/,1
http://9779.info/%E5%8A%A8%E7%89%A9%E6%B5%B7%E7%BB%B5%E7%BA%B8%E5%89%AA%E8%B4%B4%E7%94%BB/,1
http://www.newstudy.net/community/Web_nMngr.aspx?acaidx=0&board_idx=298&pn=1&sflag=1&mflag=NOT&where=&keyword=,1
